Primary key,document_id,pdf_url,original_pdf_link,experiment,question_short_name,answer,quote_1,quote_2,quote_3,quote_4,quote_5,absence_of_evidence,page_num_1,page_num_2,page_num_3,page_num_4,page_num_5,batch,classification_2,classification_1,Adherence test or train group,Prompt 1 result,Results from Prompt 1,Explicitly discusses adherence,# important quotes not from text,Are quotes enough?,Gold standard is just the quote?,Results from Prompt 2,Prompt 2 result,Collected for,explanation,notes,no_answer,direct_answer,split,need_figures,user,What analysis is the final n for?,What analysis is the final n for? quote_1,Thoughts on alternate answers,need outcome to define answer?,Study has multiple final ns,instructions_link,quote_6,quote_7,quote_8,quote_9,participant_flow_figures,"Flow diagram show clean split to arms, then same stages for each arm, and experiments are listed separately?",experiments_count,arms_count,CONSORT compliance of flow diagram,CONSORT compliance notes,done (EFD),EFD notes
1,abebe-2018.pdf,https://github.com/brachbach/host-files/raw/main/abebe-2018.pdf,http://barrett.dyson.cornell.edu/NEUDC/paper_452.pdf,All,describe_interventions,"Transport subsidy: Individuals are offered a subsidy to cover the cost of traveling to the city centre conditional on visiting a disbursement point. Each recipient can collect once a day up to three times a week. The amount covers bus fare from the participants area to the disbursement point. To get the subsidy, job-seekers need to front the cash to make the initial journey. The start and end time of the subsidy is staggered for logistical reasons to generate variation across individuals during which the treatment is available.

Job application workshop: The job application workshop contains two components, an orientation session and a certification session. On the first day, participants take a series of personnel selection tests. On the second day, they attend the orientation session. The orientation session covers CV writing, application letters and job interviews. The certification session includes four tests: (i) a Raven matrices test, (ii) a test of linguistic ability in Amharic, (iii) a test of mathematical ability and (iv) a ‘work-sample’ test.","Individuals in this treatment group are offered a subsidy to cover the cost of traveling to the city centre. The subsidy takes the form of a cash transfer that is conditional on visiting a disbursement point, located in an office in the centre of Addis Ababa.12 Recipients are required to attend in person, and to show photographic ID on each visit. Each recipient can collect cash once a day, up to three times a week. The daily amount is sufficient to cover the cost of a return bus fare from the participant’s area of residence at baseline to the disbursement point.13 To access the subsidy, job-seekers need to have (or borrow) enough cash to make the first journey – which in our setting is almost always the case.","For logistical reasons, we stagger the start time and the end time of the subsidy, randomly. This generates variation across individuals in the number of weeks during which the treatment is available, and in the time of treatment.",The intervention has two components: an orientation session and a certification session,"The intervention takes place over two days. On the first day, participants take a series of personnel selection tests. On the second day, they attend the orientation session.","The orientation session covers three main topics: CV writing, application letters and job interviews. All the training materials were developed by the School of Commerce and later reviewed by our team. The certification session includes four tests: (i) a Raven matrices test, (ii) a test of linguistic ability in Amharic, (iii) a test of mathematical ability and (iv) a ‘work-sample’ test. The results of the tests are presented in a certificate, which job-seekers can use in support of their job applications. The certificates explain the nature of the tests and report the relative grade of the individual for each test, and an aggregate measure of performance.21 The certificates are officially issued by the School of Commerce and the Ethiopian Development Research Institute.",,8-9,9,10.0,10.0,10.0,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
93,idinsight-2020.pdf,https://github.com/brachbach/host-files/raw/main/idinsight-2020.pdf,https://files.givewell.org/files/DWDA%202009/NewIncentives/IDinsight_Impact_Evaluation_of_New_Incentives_Final_Report.pdf,All,describe_interventions,The researchers provided conditional cash transfers to vaccine recipients to observe the effect on routine immunization programs.,"This study sought to estimate the effect of NI-ABAE’s CCTs for RI Program on the proportion of 12 to 16-month old children who received the BCG vaccine, the Penta 1 vaccine, and the Measles vaccine.",CCT Conditional cash transfer,,,,,47,10,,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
169,nyqvist-218.pdf,https://github.com/brachbach/host-files/raw/main/nyqvist-218.pdf,https://www.jakobsvensson.com/uploads/9/9/1/0/99107788/aejapp-2018.pdf,All,describe_interventions,"A CHP health community worker was recruited and tasked to conduct home visits within their community,  educate households on essential health behaviors, provide medical advice and referrals, and was also incentivized to sell preventive and curative health products.","In randomly selected villages a sales agent was locally recruited and incentivized to conduct home visits, educate households on essential health behaviors, provide medical advice and referrals, and sell preventive and curative health products.","The program relies on “Avon-like” networks of door-to door mobile Community Health Promoters (CHP), whose main activities resemble the standard activities of any community health worker: conduct home visits within their community, educate households on essential health behaviors, provide basic medical advice, and refer the more severe cases to the closest health center. On top of this, the CHPs make a modest income by selling a diverse basket of basic health goods, ranging from anti-malaria drugs to soap and fortified foods.","The CHPs tasks were to conduct home visits to households with children under five years old, educate households on essential health behaviors, provide basic medical advice, referring the more severe cases to the closest health center, diagnose illness, and sell preventive and curative health products.",,,,1,2,6.0,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
103,keenan-2018.pdf,https://github.com/brachbach/host-files/raw/main/keenan-2018.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1715474?articleTools=true,All,describe_interventions,Researchers administered mass distributions of oral azithromycin or a placebo to participating communities and conducted censuses to evaluate effects on childhood mortality.,"In this cluster-randomized trial, we assigned communities in Malawi, Niger, and Tanzania to four twice-yearly mass distributions of either oral azithromycin (approxi- mately 20 mg per kilogram of body weight) or placebo.",Children 1 to 59 months of age were identified in twice-yearly censuses and were offered participation in the trial. Vital status was determined at subsequent censuses. The primary outcome was aggregate all-cause mortality; country-specific rates were assessed in prespecified subgroup analyses.,,,,,1,1,,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
155,miguel-kremer-2004.pdf,https://github.com/brachbach/host-files/raw/main/miguel-kremer-2004.pdf,https://cega.berkeley.edu/assets/cega_research_projects/1/Identifying-Impacts-on-Education-and-Health-in-the-Presence-of-Treatment-Externalities.pdf,All,describe_interventions,The paper evaluates a deworming treatment project for school children. Chosen schools were mass treated with albendazole every six months or praziquantel annually. Treatment schools also received worm prevention education and training.,"Following World Health Organization recommendations (WHO (1992)), schools with geohelminth prevalence over 50 percent were mass treated with albendazole every six months, and schools with schistosomiasis prevalence over 30 percent were mass treated with praziquantel annually.","In addition, treatment schools received worm prevention education through regular public health lectures, wall charts, and the training of teachers in each treatment school on worm prevention. Health education stressed the importance of hand washing to avoid ingesting roundworm and whipworm larvae, wearing shoes to avoid hookworm infection, and not swimming in infected fresh water to avoid schistosomiasis.",,,,,168,169,,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
117,matangila-2015.pdf,https://github.com/brachbach/host-files/raw/main/matangila-2015.pdf,https://github.com/brachbach/host-files/raw/main/j.ijantimicag.2016.11.017.pdf,All,describe_interventions,The researchers treated participants with two separate treatments to prevent malaria and anaemia. Some participants received a sulfadoxine/pyrimethamine treatment while others received a sulfadoxine/pyrimethamine and piperaquine treatment.,"This was an open-label, randomised controlled trial enrolling asymptomatic schoolchildren and investigating the efficacy of IPTsc with sulfadoxine/pyrimethamine (SP) or SP combined with piperaquine (PQ) on anaemia and malaria morbidity in Congolese schoolchildren.",,,,,,2,,,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
196,smithuis-2013.pdf,https://github.com/brachbach/host-files/raw/main/smithuis-2013.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3854704/pdf/1475-2875-12-363.pdf,All,describe_interventions,"The researchers conducted the experiment over 42 weeks by distributing impregnated bed nets (ITNs)  according to the number of family members, to selected villages, which were instructed explicitly about the correct use of the nets.","Finally 20 villages (clusters) were paired, and for each pair one was selected randomly (using a computer generated random number) to receive impregnated bed nets (ITNs), while the other acted as the control village.","Between the 26th and 29th of April 1998, all households in the intervention villages received a number of ITNs, according to the number of family members and were instructed explicitly about the correct use of the nets (Figure 2).","During the study-period (10 May 1998 to 28 February 1999) [42 weeks], 2,408 children visited the clinics with complaints of fever and were confirmed by microscopy to have malaria; 1,102 P. falciparum (46%), 1,257 P. vivax (52%), and 49 mixed i.e. with both species (2%).",,,,4,4,7.0,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
79,deutschmann-2019.pdf,https://github.com/brachbach/host-files/raw/main/deutschmann-2019.pdf,https://conference.nber.org/conf_papers/f116692.pdf,All,describe_interventions,"The researchers provided small farmers with input loans, crop insurance, training in improved farming practices, and funeral insurance coverage to test maize crop yields.","Participating farmers receive input loans, crop insurance, and training about improved farming practices.","Randomization was conducted by public lottery, and all farmers enrolled in the study also received 10,000 Ksh in funeral insurance coverage, regardless of treatment status.","The procedure for collecting yield data is the following: for treatment farmers, enumerators randomly selected one maize plot that was enrolled in the program (“enrolled plot”) and one maize plot that was not enrolled (“non-enrolled plot”). For control farmers, enumerators randomly selected a random maize plot.",,,,6,6,6.0,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
41,bassi-2018.pdf,https://github.com/brachbach/host-files/raw/main/bassi-2018.pdf,https://conference.nber.org/conf_papers/f109256.pdf,All,describe_interventions,"First, the beliefs of managers on the skills of workers after each job interview are elcitied and the workers’ labor market expectations and realized labor market outcomes are tracked for two years. The intervention has three components:
i) a screening component, information was collected on the soft skills of workers while they were still enrolled at the VTIs;
ii) a matching component, job interviews were scheduled between workers and firms;
iii) a signaling component, introducing experimental variation in whether information from the screening assessments was disclosed to both workers and firms during the job interview process, through the provision of skills certificates.","We elicit the beliefs of managers on the skills of workers after each job interview, and track the workers’ labor market expectations and realized labor market outcomes for two years","The intervention we implemented has three components: i) a screening component, whereby information was collected on the soft skills of workers while they were still enrolled at the VTIs; ii) a matching component, whereby job interviews were scheduled between workers and firms; iii) a signaling component, by introducing experimental variation in whether information from the screening assessments was disclosed to both workers and firms during the job interview process, through the provision of skills certificates.",,,,,1,10,,,,16 June Surge,,,,,,,,,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
80,dicko-2008.pdf,https://github.com/brachbach/host-files/raw/main/dicko-2008.pdf,https://malariajournal.biomedcentral.com/track/pdf/10.1186/1475-2875-7-123.pdf,intermittent preventive treatment with sulphadoxine-pyrimethamine,adherence,The rate of adherence to treatment is unclear. 88.6% of subjects completed the one year follow up. 84% completed the extended follow up.,"Of the 262 subjects enrolled, 30 subjects (11.4%) did not complete one year follow up and were equally distributed between the two groups (15 in each group).",An additional 12 subjects (4.6%) did not complete the extended follow- up 7 in treatment group and 5 in the control group (Figure 1).,,,,False,1,4,,,,16 June Surge,,explicit,Other,,,?,0,Yes,,"262 subjects were enrolled, 240 (91.4%) completed one year follow up, and 235 (89.4%) completed the extended follow-up.",completely hallucinated,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
156,miguel-kremer-2004.pdf,https://github.com/brachbach/host-files/raw/main/miguel-kremer-2004.pdf,https://cega.berkeley.edu/assets/cega_research_projects/1/Identifying-Impacts-on-Education-and-Health-in-the-Presence-of-Treatment-Externalities.pdf,praziquantel,adherence,78% of participants received at least some treatment in 1998. Approximately 72% received treatment in 1999. (Includes both albendazole and praziquantel treatment.),"Seventy-eight percent of those pupils assigned to receive treatment (i.e., girls under thirteen years old and all boys in the treatment schools) received at least some medical treatment through the program in 1998 (Table III).","A somewhat lower proportion of pupils in school took the medicine in 1999. Among girls younger than thirteen and boys who were enrolled in school for at least part of the 1999 school year, the overall treatment rate was approximately 72 percent (73 percent in Group 1 and 71 percent in Group 2 schools), suggesting that the process of selection into treatment was fairly similar in the two years despite the change in consent rules.",,,,False,169,165,,,,16 June Surge,,explicit,Test,"Correct, mostly extraction


Still seems hard with these quotes","78% of pupils assigned to receive treatment received at least some medical treatment through the program in 1998. Among girls younger than thirteen and boys who were enrolled in school for at least part of the 1999 school year, the overall treatment rate was approximately 72 percent.",Yes,0,Yes,No,"78% of participants assigned to treatment received at least some medical treatment in 1998. In 1999, the overall treatment rate was approximately 72%.",Correct,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
131,matangila-2015.pdf,https://github.com/brachbach/host-files/raw/main/matangila-2015.pdf,https://github.com/brachbach/host-files/raw/main/j.ijantimicag.2016.11.017.pdf,Sulfadoxine/pyrimethamine treatment,adherence,198 out of the original 202 were treated again at month 4 and 182 out of the original 202 were treated again at month 7,(quote_source: Table 3),,,,,False,2,,,,,16 June Surge,,explicit,Other,,,Yes,1,No,,,,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
2,abebe-2018.pdf,https://github.com/brachbach/host-files/raw/main/abebe-2018.pdf,http://barrett.dyson.cornell.edu/NEUDC/paper_452.pdf,job application workshop,adherence,61% of invited participants attend the workshop. 80% of those attendees collected certificates from the School of Commerce.,"Further, 61% of individuals who are invited to the job application workshop attend it. 80% of those attending later collect the certificates from the School of Commerce.",,,,,False,15,,,,,16 June Surge,,explicit,Test,"correct, direct quote",61% of individuals invited to the job application workshop attend it. 80% of those attending later collect the certificates from the School of Commerce.,Yes,0,Yes,Yes,61% of individuals invited to the job application workshop attend it. 80% of those attending later collect the certificates from the School of Commerce.,"correct, direct quote",ICE,,,,checked,iterate,,GiveWell,,,,,,,,,,,,,,,,,checked,
